mcg,gvh,alm,mit,erl,pox,vac,nuc,label
0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,MIT
0.45,0.56,0.51,0.64,0.5,0.0,0.54,0.22,MIT
0.57,0.5,0.4,0.08,0.5,0.0,0.47,0.22,ME3
0.53,0.44,0.47,0.22,0.5,0.0,0.53,0.22,NUC
0.38,0.37,0.36,0.14,0.5,0.0,0.54,0.22,ME3
0.58,0.53,0.5,0.53,0.5,0.0,0.47,0.31,MIT
0.32,0.47,0.55,0.12,0.5,0.0,0.52,0.22,CYT
0.71,0.5,0.5,0.18,0.5,0.0,0.46,0.22,CYT
0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,CYT
0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,ME3
0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,ME3
0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,MIT
0.5,0.32,0.49,0.49,0.5,0.0,0.48,0.32,MIT
0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,NUC
0.61,0.54,0.49,0.16,0.5,0.0,0.54,0.42,CYT
0.48,0.57,0.5,0.09,0.5,0.0,0.52,0.42,NUC
0.72,0.56,0.4,0.26,0.5,0.0,0.51,0.26,ME2
0.3,0.37,0.4,0.45,0.5,0.0,0.48,0.41,ME3
0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,ME3
0.5,0.56,0.63,0.25,0.5,0.0,0.42,0.22,NUC
0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,NUC
0.25,0.4,0.52,0.15,0.5,0.0,0.56,0.28,NUC
0.49,0.56,0.37,0.2,0.5,0.0,0.53,0.22,ME3
0.35,0.49,0.47,0.22,0.5,0.0,0.5,0.28,MIT
0.42,0.43,0.67,0.7,0.5,0.0,0.42,0.25,CYT
0.46,0.56,0.56,0.25,0.5,0.0,0.43,0.22,NUC
0.36,0.4,0.53,0.48,0.5,0.0,0.48,0.22,MIT
0.58,0.51,0.63,0.2,0.5,0.0,0.5,0.42,NUC
0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,CYT
0.23,0.37,0.32,0.13,0.5,0.0,0.53,0.22,MIT
0.64,0.64,0.56,0.21,0.5,0.0,0.5,0.22,MIT
0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,CYT
0.44,0.43,0.34,0.21,0.5,0.0,0.55,0.4,ME3
0.5,0.49,0.52,0.2,0.5,0.0,0.43,0.52,NUC
0.46,0.61,0.55,0.29,0.5,0.0,0.49,0.22,MIT
0.5,0.47,0.56,0.31,0.5,0.0,0.56,0.26,CYT
0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,POX
0.4,0.37,0.54,0.13,0.5,0.0,0.48,0.22,NUC
0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,NUC
0.45,0.45,0.5,0.6,0.5,0.0,0.49,0.22,MIT
0.5,0.45,0.52,0.18,0.5,0.0,0.52,0.22,CYT
0.39,0.56,0.34,0.18,0.5,0.0,0.49,0.22,ME3
0.52,0.31,0.56,0.16,0.5,0.0,0.55,0.22,NUC
0.55,0.55,0.52,0.13,0.5,0.0,0.53,0.25,CYT
0.3,0.3,0.46,0.32,0.5,0.0,0.45,0.22,NUC
0.49,0.48,0.46,0.63,0.5,0.0,0.52,0.22,MIT
0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,ME3
0.25,0.4,0.51,0.18,0.5,0.0,0.5,0.27,CYT
0.57,0.51,0.58,0.22,0.5,0.0,0.51,0.22,NUC
0.19,0.41,0.55,0.13,0.5,0.0,0.52,0.25,CYT
0.32,0.38,0.52,0.2,0.5,0.0,0.52,0.28,CYT
0.64,0.53,0.59,0.14,0.5,0.0,0.53,0.22,MIT
0.39,0.63,0.41,0.27,0.5,0.0,0.49,0.22,ME3
0.57,0.4,0.48,0.24,0.5,0.0,0.55,0.22,CYT
0.44,0.65,0.49,0.16,0.5,0.0,0.48,0.31,NUC
0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,MIT
0.42,0.5,0.59,0.17,0.5,0.0,0.51,0.22,CYT
0.63,0.55,0.53,0.51,0.5,0.0,0.55,0.22,VAC
0.46,0.47,0.46,0.16,0.5,0.0,0.51,0.22,CYT
0.27,0.56,0.3,0.14,0.5,0.0,0.52,0.39,ME3
0.41,0.42,0.53,0.17,0.5,0.0,0.48,0.58,NUC
0.78,0.48,0.47,0.3,0.5,0.0,0.53,0.47,ME2
0.42,0.38,0.52,0.29,0.5,0.0,0.42,0.22,NUC
0.77,0.86,0.44,0.27,0.5,0.0,0.48,0.22,ME1
0.51,0.49,0.48,0.55,0.5,0.0,0.52,0.58,CYT
0.44,0.41,0.58,0.2,0.5,0.0,0.57,0.25,CYT
0.94,0.6,0.33,0.49,0.5,0.0,0.54,0.22,ME2
0.48,0.48,0.56,0.18,0.5,0.0,0.58,0.22,CYT
0.56,0.42,0.52,0.14,0.5,0.0,0.51,0.22,CYT
0.25,0.26,0.53,0.17,0.5,0.0,0.45,0.22,CYT
0.39,0.47,0.49,0.2,0.5,0.0,0.53,0.26,CYT
0.57,0.43,0.52,0.3,0.5,0.0,0.37,0.11,CYT
0.47,0.54,0.54,0.48,0.5,0.0,0.53,0.26,MIT
0.52,0.37,0.48,0.13,0.5,0.0,0.55,0.22,NUC
0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,ME1
0.52,0.5,0.6,0.2,0.5,0.0,0.52,0.22,CYT
0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,NUC
0.53,0.46,0.54,0.37,0.5,0.0,0.51,0.3,NUC
0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,CYT
0.4,0.68,0.5,0.82,0.5,0.0,0.44,0.36,MIT
0.45,0.43,0.63,0.4,0.5,0.0,0.59,0.11,MIT
0.45,0.5,0.57,0.29,0.5,0.0,0.44,0.11,CYT
0.53,0.68,0.34,0.42,0.5,0.0,0.54,0.27,ME3
0.66,0.52,0.52,0.44,0.5,0.0,0.56,0.27,MIT
0.35,0.39,0.56,0.2,0.5,0.0,0.49,0.41,CYT
0.45,0.73,0.47,0.65,0.5,0.0,0.54,0.43,MIT
0.6,0.51,0.49,0.18,0.5,0.0,0.53,0.38,CYT
0.58,0.64,0.42,0.3,0.5,0.0,0.54,0.22,NUC
0.73,0.83,0.43,0.3,0.5,0.0,0.55,0.22,ME1
0.51,0.48,0.51,0.26,0.5,0.0,0.51,0.27,CYT
0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,NUC
0.64,0.44,0.51,0.35,0.5,0.0,0.53,0.22,CYT
0.41,0.41,0.43,0.61,0.5,0.0,0.53,0.22,MIT
0.51,0.34,0.49,0.16,0.5,0.0,0.53,0.21,NUC
0.45,0.66,0.39,0.11,0.5,0.0,0.54,0.22,ME3
0.75,0.76,0.58,0.22,0.5,0.0,0.49,0.22,EXC
0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,VAC
0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,MIT
0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,CYT
0.46,0.33,0.45,0.22,0.5,0.0,0.41,0.37,CYT
0.59,0.57,0.43,0.26,0.5,0.0,0.51,0.22,MIT
0.52,0.46,0.51,0.18,0.5,0.0,0.5,0.22,CYT
0.22,0.53,0.36,0.22,0.5,0.0,0.54,0.31,ME3
0.6,0.61,0.54,0.11,0.5,0.0,0.46,0.22,CYT
0.38,0.45,0.37,0.19,0.5,0.0,0.52,0.3,ME3
0.49,0.38,0.56,0.09,0.5,0.0,0.46,0.22,CYT
0.63,0.57,0.5,0.48,0.5,0.0,0.51,0.22,MIT
0.56,0.68,0.52,0.39,0.5,0.0,0.36,0.22,MIT
0.44,0.39,0.63,0.11,0.5,0.0,0.49,0.26,NUC
0.23,0.13,0.51,0.16,0.5,0.0,0.53,0.51,NUC
0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,VAC
0.45,0.4,0.43,0.22,0.5,0.0,0.51,0.48,NUC
0.57,0.37,0.43,0.27,0.5,0.0,0.53,0.28,NUC
0.43,0.4,0.5,0.18,0.5,0.0,0.5,0.28,CYT
0.59,0.7,0.46,0.19,0.5,0.0,0.54,0.44,CYT
0.28,0.48,0.56,0.16,0.5,0.0,0.48,0.26,CYT
0.85,0.66,0.49,0.18,0.5,0.0,0.51,0.22,ME1
0.41,0.52,0.56,0.26,0.5,0.0,0.48,0.32,NUC
0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,MIT
0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,CYT
